DP;DPNOM;DPMP;MPIO;2017;cdigo.dane
50;Meta;50318;Guamal;9449;50318000
50;Meta;50325;Mapiripán;18091;50325000
50;Meta;50330;Mesetas;11405;50330000
50;Meta;50350;La Macarena;34787;50350000
50;Meta;50370;Uribe;16934;50370000
50;Meta;50400;Lejanías;9342;50400000
50;Meta;50450;Puerto Concordia;22;50450000
50;Meta;50568;Puerto Gaitán;18792;50568000
50;Meta;50573;Puerto López;34283;50573000
50;Meta;50577;Puerto Lleras;9593;50577000
50;Meta;50590;Puerto Rico;18793;50590000
50;Meta;50606;Restrepo;10655;50606000
50;Meta;50680;San Carlos de Guaroa;10299;50680000
50;Meta;50683;San Juan de Arama;8764;50683000
50;Meta;50686;San Juanito;2207;50686000
50;Meta;50689;San Martín;25298;50689000
50;Meta;50711;Vistahermosa;26347;50711000
52;Nariño;52001;Pasto;450645;52001000
52;Nariño;52019;Albán;22711;52019000
52;Nariño;52022;Aldana;5929;52022000
52;Nariño;52036;Ancuyá;6745;52036000
52;Nariño;52051;Arboleda;7566;52051000
52;Nariño;52079;Barbacoas;39564;52079000
52;Nariño;52083;Belén;7715;52083000
52;Nariño;52110;Buesaco;25653;52110000
52;Nariño;52203;Colón;10206;52203000
52;Nariño;52207;Consaca;9201;52207000
52;Nariño;52210;Contadero;7003;52210000
52;Nariño;52215;Córdoba;14066;52215000
52;Nariño;52224;Cuaspud;8689;52224000
52;Nariño;52227;Cumbal;39066;52227000
52;Nariño;52233;Cumbitara;16129;52233000
52;Nariño;52240;Chachagüí;13967;52240000
52;Nariño;52250;El Charco;396;52250000
52;Nariño;52254;El Peñol;643;52254000
52;Nariño;52256;El Rosario;9938;52256000
52;Nariño;52258;El Tablón de Gómez;12515;52258000
52;Nariño;52260;El Tambo;11901;52260000
52;Nariño;52287;Funes;6402;52287000
